Географические координаты,Глубина землетрясений,Магнитуда,Тип грунта,Геологические структуры,История землетрясений,Активные сейсмические зоны,Распределение активностей,Глубина пластов,Тектонические движения,Сейсмогенные процессы,Интервал времени,Погодные условия,Сейсмографические данные,Эпицентры,Подготовленность,Геодинамические процессы
"15.828739963077707, 60.68298719252198",18.083144973322593,6.4,Глина,Ложе реки,Высокая,Нет,Неравномерное,9,Сдвиговые,Тектонические,13,Дождь,Не доступны,Установлены,Высокая,Пассивные
"6.164377072099708, -44.93888869283904",58.38980408720513,5.8,Гравий,Ложе реки,Низкая,Да,Равномерное,4,Сдвиговые,Волнообразные,71,Снег,Доступны,Не установлены,Средняя,Пассивные
"65.66714038798249, -150.50237138737174",26.134589231588382,6.5,Гравий,Ложе реки,Низкая,Нет,Неравномерное,5,Вертикальные,Волнообразные,32,Солнечно,Не доступны,Установлены,Высокая,Активные
"40.47866629544565, 17.01677230146194",91.2300960387901,1.5,Гравий,Плато,Высокая,Нет,Неравномерное,7,Сдвиговые,Волнообразные,33,Снег,Доступны,Не установлены,Средняя,Активные
"58.058826398157386, -124.87575046710744",52.641759834104604,5.1,Скала,Гора,Низкая,Нет,Неравномерное,4,Вертикальные,Волнообразные,18,Пасмурно,Доступны,Не установлены,Низкая,Активные
"42.60883985522581, -43.18038037526503",79.89091575599879,2.0,Песок,Плато,Высокая,Да,Неравномерное,1,Сдвиговые,Тектонические,49,Дождь,Не доступны,Установлены,Средняя,Пассивные
"39.16957568604985, -69.01743155814816",73.37955592929791,7.9,Скала,Равнина,Средняя,Нет,Равномерное,10,Сдвиговые,Вулканические,32,Пасмурно,Не доступны,Не установлены,Высокая,Пассивные
"40.650703796983535, -122.77013646471767",83.2779079470334,6.9,Гравий,Ложе реки,Низкая,Нет,Неравномерное,8,Вертикальные,Тектонические,27,Снег,Доступны,Установлены,Низкая,Активные
"84.37378307789864, -117.42216076249088",87.28874834824765,3.3,Глина,Равнина,Средняя,Да,Равномерное,3,Вертикальные,Волнообразные,36,Снег,Доступны,Установлены,Средняя,Активные
"8.93741111571117, -77.78348998421154",20.490195912661154,8.0,Скала,Гора,Высокая,Нет,Неравномерное,4,Сдвиговые,Вулканические,85,Дождь,Доступны,Не установлены,Средняя,Активные
"54.921841959891516, 146.25971007264786",35.05420220614433,4.9,Гравий,Ложе реки,Низкая,Нет,Равномерное,1,Горизонтальные,Тектонические,19,Дождь,Не доступны,Установлены,Высокая,Активные
"24.716347837132975, 75.43611254880483",90.16619196623526,4.6,Песок,Плато,Средняя,Нет,Равномерное,7,Сдвиговые,Вулканические,64,Солнечно,Доступны,Не установлены,Низкая,Пассивные
"59.25034203216365, 153.74574758253158",39.97515256838547,1.5,Гравий,Плато,Средняя,Да,Равномерное,8,Вертикальные,Волнообразные,41,Солнечно,Не доступны,Установлены,Высокая,Пассивные
"43.77853522624049, -162.5801791784798",2.6796780976321144,7.9,Гравий,Равнина,Высокая,Да,Равномерное,9,Вертикальные,Волнообразные,42,Пасмурно,Доступны,Установлены,Низкая,Активные
"55.94112199599705, 173.08662074452184",57.71423491637314,5.0,Глина,Равнина,Низкая,Нет,Неравномерное,6,Вертикальные,Волнообразные,27,Солнечно,Не доступны,Установлены,Низкая,Активные
"10.190403247141969, -149.60225242974548",38.01445925548437,2.3,Гравий,Плато,Низкая,Нет,Равномерное,10,Вертикальные,Тектонические,54,Солнечно,Доступны,Не установлены,Высокая,Пассивные
"28.066409292626954, -66.07556212648805",92.19127259510493,2.3,Глина,Равнина,Высокая,Да,Неравномерное,4,Сдвиговые,Тектонические,63,Солнечно,Доступны,Установлены,Средняя,Активные
"23.667098546297712, -69.36157904178884",12.61517287985787,7.7,Скала,Плато,Высокая,Нет,Неравномерное,4,Горизонтальные,Тектонические,14,Снег,Доступны,Установлены,Высокая,Активные
"43.3956507441993, -59.60065935470256",7.602218573405926,4.3,Песок,Гора,Средняя,Да,Неравномерное,3,Сдвиговые,Тектонические,84,Солнечно,Не доступны,Не установлены,Низкая,Активные
"68.00116264399234, -26.100444451925",76.94466334796624,3.2,Гравий,Гора,Высокая,Да,Неравномерное,9,Вертикальные,Вулканические,4,Снег,Доступны,Установлены,Средняя,Активные
"10.31080010711215, 89.16325806651685",43.50808558400156,5.7,Скала,Равнина,Средняя,Да,Равномерное,5,Вертикальные,Тектонические,28,Солнечно,Не доступны,Установлены,Средняя,Активные
"21.465845274464666, -16.35869321058206",18.62100702347925,6.0,Глина,Ложе реки,Высокая,Нет,Неравномерное,5,Сдвиговые,Тектонические,19,Пасмурно,Не доступны,Не установлены,Средняя,Пассивные
"61.54864035866391, -55.50815418152584",6.415786095210623,3.2,Песок,Равнина,Низкая,Нет,Равномерное,8,Вертикальные,Вулканические,38,Дождь,Не доступны,Установлены,Высокая,Активные
"43.80053533262664, 116.49584673298318",17.59742916938854,4.6,Глина,Плато,Средняя,Да,Неравномерное,3,Сдвиговые,Вулканические,83,Дождь,Доступны,Не установлены,Средняя,Активные
"21.69547774477816, -62.05305345510192",77.10995201162203,3.7,Глина,Равнина,Средняя,Да,Равномерное,7,Сдвиговые,Тектонические,51,Пасмурно,Доступны,Не установлены,Низкая,Активные
"71.97923132983358, -163.31007094473114",66.56222572245301,4.4,Скала,Гора,Средняя,Да,Неравномерное,8,Вертикальные,Волнообразные,44,Солнечно,Доступны,Не установлены,Средняя,Активные
"6.611760479440215, -56.26293773501399",2.416371797811766,7.2,Гравий,Ложе реки,Низкая,Нет,Неравномерное,9,Сдвиговые,Вулканические,9,Солнечно,Доступны,Установлены,Высокая,Активные
"73.46234956837381, -148.90744524526687",78.42440477699611,1.0,Глина,Ложе реки,Низкая,Нет,Равномерное,1,Вертикальные,Тектонические,77,Снег,Не доступны,Установлены,Низкая,Активные
"31.642577241664966, -141.95000804649376",72.54678682590469,2.8,Скала,Гора,Низкая,Да,Неравномерное,8,Вертикальные,Волнообразные,41,Солнечно,Доступны,Не установлены,Высокая,Пассивные
"78.05613334596624, 154.552347531458",65.20216830886993,3.3,Песок,Гора,Средняя,Нет,Неравномерное,5,Горизонтальные,Вулканические,19,Пасмурно,Доступны,Не установлены,Низкая,Активные
"23.114701036928324, 7.938522305677793",92.12599366859607,2.9,Песок,Ложе реки,Низкая,Нет,Неравномерное,9,Сдвиговые,Волнообразные,66,Дождь,Доступны,Не установлены,Средняя,Пассивные
"6.978174324380531, -119.01346575861177",84.88539416356504,6.3,Глина,Гора,Низкая,Да,Неравномерное,5,Вертикальные,Тектонические,75,Дождь,Доступны,Не установлены,Высокая,Пассивные
"89.77776790999661, -89.03950844411887",31.783853784091257,7.3,Гравий,Плато,Средняя,Нет,Равномерное,10,Горизонтальные,Вулканические,72,Дождь,Не доступны,Не установлены,Средняя,Пассивные
"89.20690810959167, -102.89492773683808",77.86758720294303,5.8,Глина,Плато,Средняя,Да,Равномерное,9,Сдвиговые,Волнообразные,86,Пасмурно,Доступны,Установлены,Низкая,Активные
"86.52019793672068, 167.24209616520375",74.00440320505368,2.9,Песок,Гора,Средняя,Нет,Равномерное,9,Сдвиговые,Волнообразные,18,Дождь,Доступны,Не установлены,Высокая,Пассивные
"37.57704442357211, -6.5833305689431825",61.46141220172617,2.9,Гравий,Гора,Высокая,Да,Неравномерное,4,Сдвиговые,Волнообразные,45,Пасмурно,Доступны,Не установлены,Средняя,Пассивные
"38.26259711334786, 107.65884842558222",91.4194358433178,3.9,Песок,Плато,Высокая,Да,Неравномерное,5,Вертикальные,Вулканические,55,Снег,Не доступны,Установлены,Средняя,Активные
"59.539625001140486, -160.4460833887205",8.554060044306635,1.9,Песок,Равнина,Высокая,Да,Равномерное,10,Сдвиговые,Волнообразные,76,Дождь,Доступны,Не установлены,Высокая,Активные
"68.96288922753187, -84.70547346915988",30.872415686195033,5.9,Скала,Равнина,Низкая,Нет,Равномерное,8,Вертикальные,Тектонические,47,Солнечно,Доступны,Не установлены,Средняя,Активные
"23.880456347300147, -10.297371125497563",59.85640258459196,4.7,Глина,Равнина,Низкая,Да,Равномерное,4,Вертикальные,Вулканические,71,Солнечно,Доступны,Установлены,Высокая,Пассивные
"23.846188934650378, -67.94659993696666",34.513438485348495,7.0,Песок,Гора,Средняя,Нет,Неравномерное,2,Горизонтальные,Тектонические,81,Пасмурно,Не доступны,Установлены,Средняя,Активные
"84.49787795631897, 89.54157761325814",34.80068576543326,7.9,Гравий,Равнина,Высокая,Нет,Неравномерное,4,Вертикальные,Тектонические,78,Пасмурно,Не доступны,Установлены,Низкая,Пассивные
"80.78110244307054, -139.66956499989197",52.067598656025645,6.1,Песок,Ложе реки,Высокая,Нет,Неравномерное,1,Горизонтальные,Тектонические,51,Пасмурно,Не доступны,Не установлены,Низкая,Пассивные
"88.27248906089699, -44.73233586810977",45.76394225329989,6.8,Глина,Равнина,Низкая,Да,Неравномерное,4,Вертикальные,Вулканические,94,Пасмурно,Не доступны,Установлены,Высокая,Пассивные
"47.06847003284862, -145.2548046108766",56.474898789670654,2.5,Песок,Гора,Низкая,Нет,Неравномерное,8,Горизонтальные,Вулканические,52,Снег,Доступны,Установлены,Средняя,Пассивные
"59.65366946797549, -151.11701913605816",71.32878444590511,1.3,Глина,Плато,Высокая,Нет,Неравномерное,9,Сдвиговые,Волнообразные,39,Дождь,Не доступны,Установлены,Средняя,Пассивные
"60.56923483295109, 144.13192016611634",97.2464872427034,7.4,Скала,Гора,Низкая,Да,Равномерное,8,Горизонтальные,Тектонические,15,Пасмурно,Не доступны,Не установлены,Низкая,Пассивные
"42.36580513972289, 157.43994719700441",12.969467939607087,1.1,Скала,Ложе реки,Низкая,Нет,Равномерное,1,Сдвиговые,Вулканические,59,Солнечно,Не доступны,Не установлены,Средняя,Активные
"67.44779672571983, -134.02723172452855",31.754689166315476,1.7,Глина,Равнина,Низкая,Нет,Неравномерное,5,Вертикальные,Тектонические,76,Солнечно,Не доступны,Установлены,Средняя,Пассивные
"76.55064753583535, 77.45951527032162",48.939465031872984,1.4,Песок,Равнина,Высокая,Нет,Равномерное,8,Сдвиговые,Тектонические,72,Солнечно,Не доступны,Установлены,Низкая,Активные
"0.49058062917974876, -84.57577762599271",95.89465603760817,1.5,Песок,Ложе реки,Средняя,Нет,Неравномерное,8,Горизонтальные,Тектонические,68,Пасмурно,Не доступны,Установлены,Низкая,Активные
"27.102262761090767, -144.01107313672284",77.00546255776057,3.9,Глина,Плато,Низкая,Да,Неравномерное,3,Вертикальные,Вулканические,41,Пасмурно,Доступны,Не установлены,Высокая,Пассивные
"83.83065364627235, -77.72489809751266",56.08324306789473,1.2,Песок,Равнина,Низкая,Нет,Равномерное,7,Сдвиговые,Вулканические,64,Снег,Доступны,Не установлены,Низкая,Активные
"50.7248727558132, 126.71439580701133",97.03330055824482,3.5,Глина,Равнина,Низкая,Да,Неравномерное,5,Вертикальные,Волнообразные,91,Пасмурно,Доступны,Не установлены,Средняя,Активные
"1.5426290916167296, -170.20223992179962",19.431153230878635,4.7,Глина,Равнина,Высокая,Да,Равномерное,8,Сдвиговые,Вулканические,5,Снег,Не доступны,Установлены,Средняя,Пассивные
"79.08650101465888, 82.6041166631552",3.8668797213670256,1.7,Песок,Гора,Низкая,Да,Равномерное,9,Горизонтальные,Вулканические,45,Снег,Доступны,Установлены,Средняя,Активные
"56.67023780449567, 170.24388001055144",11.365640447279917,5.4,Песок,Плато,Средняя,Нет,Равномерное,5,Горизонтальные,Тектонические,63,Солнечно,Не доступны,Установлены,Высокая,Активные
"46.774070937702994, -28.347132648316517",19.20647373197114,6.0,Скала,Плато,Низкая,Да,Неравномерное,9,Вертикальные,Тектонические,75,Дождь,Доступны,Установлены,Средняя,Активные
"18.59583972465255, -15.255335079714541",43.45552450279561,1.7,Скала,Гора,Средняя,Да,Неравномерное,1,Сдвиговые,Волнообразные,3,Солнечно,Не доступны,Не установлены,Высокая,Активные
"1.8022324856360072, -109.18927660795279",8.873226681423452,1.4,Песок,Плато,Высокая,Нет,Неравномерное,3,Вертикальные,Волнообразные,21,Солнечно,Не доступны,Установлены,Высокая,Активные
"61.7702342739424, -111.06511662933914",26.421100780814275,7.1,Песок,Ложе реки,Низкая,Да,Равномерное,4,Горизонтальные,Волнообразные,79,Солнечно,Не доступны,Не установлены,Высокая,Пассивные
"39.65229984068188, -141.91331164880344",5.302250011767255,3.3,Глина,Гора,Средняя,Нет,Неравномерное,6,Сдвиговые,Тектонические,30,Пасмурно,Не доступны,Не установлены,Высокая,Пассивные
"89.07096438004051, 1.126725628079896",90.30381623936512,3.4,Гравий,Ложе реки,Высокая,Нет,Неравномерное,4,Вертикальные,Волнообразные,84,Снег,Не доступны,Установлены,Высокая,Активные
"62.30212193077962, -175.89998739566138",92.58808148112601,5.2,Скала,Гора,Средняя,Нет,Неравномерное,10,Горизонтальные,Тектонические,89,Солнечно,Не доступны,Не установлены,Средняя,Пассивные
"33.83821752245026, 164.36389148886445",68.41812455580065,7.2,Скала,Плато,Низкая,Да,Неравномерное,4,Сдвиговые,Тектонические,98,Пасмурно,Не доступны,Установлены,Низкая,Активные
"42.08974562482205, -90.12344128238396",91.93477381700454,6.5,Гравий,Плато,Средняя,Да,Неравномерное,8,Вертикальные,Вулканические,92,Дождь,Доступны,Установлены,Высокая,Пассивные
"39.12110851860333, -49.579165778997634",89.43813333372249,1.6,Скала,Плато,Средняя,Нет,Равномерное,10,Сдвиговые,Тектонические,75,Снег,Доступны,Не установлены,Средняя,Пассивные
"53.96768795518715, -56.88969220785219",66.63608517442601,5.3,Скала,Плато,Низкая,Нет,Равномерное,7,Сдвиговые,Вулканические,57,Солнечно,Доступны,Установлены,Средняя,Активные
"71.93513080492728, -142.16069416200747",78.6824410558161,3.2,Гравий,Плато,Высокая,Нет,Неравномерное,3,Сдвиговые,Тектонические,8,Солнечно,Доступны,Установлены,Средняя,Пассивные
"43.85505223012612, 2.647143660127824",47.3924554518469,6.4,Глина,Ложе реки,Низкая,Нет,Неравномерное,2,Сдвиговые,Тектонические,93,Дождь,Доступны,Установлены,Высокая,Активные
"73.98574560306827, 125.19793807084068",93.98682574134365,5.3,Скала,Плато,Средняя,Да,Равномерное,5,Горизонтальные,Тектонические,73,Дождь,Не доступны,Не установлены,Средняя,Пассивные
"2.337931383643422, -70.0445539730611",75.57652134183154,3.8,Песок,Гора,Высокая,Да,Равномерное,5,Горизонтальные,Тектонические,4,Солнечно,Не доступны,Не установлены,Низкая,Активные
"10.680682895192287, 151.04347680412894",25.75400682867551,3.4,Гравий,Гора,Низкая,Да,Равномерное,4,Горизонтальные,Волнообразные,39,Солнечно,Доступны,Не установлены,Высокая,Пассивные
"16.97186007558347, -118.77259404010883",6.34773137712832,1.6,Глина,Гора,Средняя,Да,Неравномерное,6,Горизонтальные,Тектонические,33,Дождь,Не доступны,Не установлены,Низкая,Пассивные
"74.15022268511666, -74.98487708215825",36.18820961986736,7.5,Глина,Плато,Низкая,Да,Неравномерное,8,Сдвиговые,Вулканические,13,Пасмурно,Доступны,Установлены,Низкая,Активные
"21.54856899060878, -57.82008487119913",29.779151748881347,7.0,Гравий,Ложе реки,Средняя,Да,Равномерное,5,Сдвиговые,Вулканические,57,Снег,Доступны,Установлены,Средняя,Пассивные
"89.30211790456188, 59.96953089355438",9.096982723663036,3.6,Скала,Плато,Высокая,Нет,Равномерное,1,Сдвиговые,Волнообразные,75,Солнечно,Не доступны,Не установлены,Низкая,Пассивные
"72.23681155325177, 15.569047899498315",83.6593861194916,2.9,Глина,Плато,Высокая,Нет,Неравномерное,9,Горизонтальные,Волнообразные,69,Снег,Доступны,Установлены,Средняя,Пассивные
"56.198806569621354, 164.42459853402283",23.07156445200109,6.4,Глина,Ложе реки,Низкая,Да,Равномерное,2,Горизонтальные,Тектонические,95,Солнечно,Доступны,Не установлены,Средняя,Пассивные
"48.91001647435502, -125.84161293610762",34.22620607315317,1.2,Песок,Гора,Низкая,Нет,Неравномерное,4,Горизонтальные,Вулканические,55,Солнечно,Не доступны,Не установлены,Средняя,Активные
"53.641463142677296, -27.980732341332754",18.44642065914952,6.9,Скала,Гора,Высокая,Да,Равномерное,5,Горизонтальные,Волнообразные,6,Снег,Доступны,Не установлены,Средняя,Пассивные
"19.80872345503285, 7.7583144652282385",50.232172564689066,1.2,Гравий,Ложе реки,Низкая,Нет,Неравномерное,8,Вертикальные,Вулканические,33,Снег,Доступны,Установлены,Средняя,Активные
"14.018307015814509, -175.50414798028032",30.004400587485755,3.5,Песок,Гора,Низкая,Нет,Равномерное,3,Горизонтальные,Тектонические,30,Солнечно,Доступны,Установлены,Высокая,Пассивные
"49.53308654416953, -18.134268554008173",87.71080264988372,2.8,Скала,Гора,Низкая,Нет,Неравномерное,4,Вертикальные,Вулканические,44,Солнечно,Доступны,Установлены,Высокая,Пассивные
"82.37758105251349, 147.91619986198435",20.378584591787533,3.9,Гравий,Гора,Высокая,Нет,Неравномерное,7,Сдвиговые,Вулканические,79,Дождь,Не доступны,Не установлены,Средняя,Активные
"9.547365870501359, -93.8626805030625",15.549775626953593,5.5,Песок,Гора,Средняя,Нет,Неравномерное,1,Вертикальные,Волнообразные,85,Солнечно,Не доступны,Установлены,Высокая,Активные
"27.572363050580194, -61.36775284871888",61.99306598894175,7.7,Гравий,Равнина,Средняя,Нет,Равномерное,8,Горизонтальные,Вулканические,15,Солнечно,Доступны,Не установлены,Низкая,Пассивные
"86.37641484133458, 108.86829800900853",92.12042946265265,2.0,Песок,Ложе реки,Высокая,Да,Неравномерное,10,Горизонтальные,Волнообразные,25,Пасмурно,Доступны,Не установлены,Низкая,Активные
"52.28010583007908, -20.479956362624392",24.67876985292255,5.1,Глина,Ложе реки,Средняя,Да,Равномерное,10,Вертикальные,Вулканические,82,Солнечно,Не доступны,Установлены,Низкая,Активные
"30.16503578216034, -169.20425719970947",70.80135128356311,4.3,Глина,Равнина,Низкая,Да,Неравномерное,8,Сдвиговые,Тектонические,70,Солнечно,Доступны,Установлены,Средняя,Активные
"83.4938272933769, 121.33024197927182",57.76486849061488,5.7,Глина,Плато,Средняя,Нет,Равномерное,10,Горизонтальные,Тектонические,55,Пасмурно,Доступны,Установлены,Низкая,Активные
"83.21517749606122, -55.94890102457653",88.27114486214562,6.2,Гравий,Гора,Средняя,Нет,Равномерное,3,Горизонтальные,Тектонические,7,Пасмурно,Не доступны,Установлены,Средняя,Пассивные
"3.871272916150259, 177.63604456566765",75.80987265545569,7.7,Глина,Гора,Высокая,Нет,Равномерное,2,Вертикальные,Волнообразные,28,Пасмурно,Доступны,Установлены,Средняя,Пассивные
"17.360810847735625, -75.47673892545404",9.88506574493556,3.8,Песок,Равнина,Низкая,Да,Равномерное,1,Горизонтальные,Вулканические,67,Снег,Доступны,Установлены,Низкая,Активные
"84.91987347983799, -76.24598343377195",2.7249267897516782,2.3,Гравий,Равнина,Средняя,Да,Неравномерное,9,Сдвиговые,Вулканические,53,Пасмурно,Не доступны,Установлены,Высокая,Пассивные
"70.93965922147245, -47.73180547482846",39.92496613255627,6.0,Гравий,Плато,Низкая,Нет,Неравномерное,2,Горизонтальные,Тектонические,68,Пасмурно,Не доступны,Не установлены,Низкая,Активные
"70.01324137818045, 93.82205061429943",61.308358414981605,4.9,Гравий,Плато,Высокая,Нет,Равномерное,3,Сдвиговые,Волнообразные,44,Солнечно,Не доступны,Не установлены,Средняя,Пассивные
"25.953090294386538, 39.02589793099324",86.04759104127655,6.7,Песок,Гора,Высокая,Нет,Равномерное,1,Горизонтальные,Вулканические,48,Дождь,Не доступны,Установлены,Низкая,Активные
"3.4025182598683656, -8.827411822347585",12.853185509146204,5.1,Гравий,Гора,Низкая,Нет,Неравномерное,5,Вертикальные,Тектонические,16,Снег,Не доступны,Не установлены,Низкая,Пассивные
"66.83098761967737, 65.02741502429316",53.60746927885281,6.7,Скала,Гора,Средняя,Нет,Равномерное,6,Сдвиговые,Волнообразные,81,Снег,Доступны,Установлены,Низкая,Активные
"30.000904184602565, 108.31101521839679",85.18882976190535,2.6,Песок,Ложе реки,Низкая,Нет,Неравномерное,9,Сдвиговые,Волнообразные,73,Пасмурно,Доступны,Установлены,Средняя,Активные
"73.95109661970746, -92.5841545606268",84.88653190820932,1.8,Скала,Гора,Средняя,Нет,Равномерное,3,Горизонтальные,Вулканические,50,Снег,Доступны,Не установлены,Средняя,Пассивные
"46.382918680100815, -37.24313688229893",44.476983839595626,1.1,Глина,Гора,Низкая,Нет,Неравномерное,4,Сдвиговые,Вулканические,20,Дождь,Доступны,Установлены,Высокая,Пассивные
"48.01964015037252, 178.74417679687474",14.104954145738482,2.2,Гравий,Равнина,Низкая,Нет,Равномерное,3,Сдвиговые,Вулканические,30,Снег,Не доступны,Не установлены,Низкая,Активные
"62.45507140413271, -124.6972129585346",30.32908390154945,6.7,Скала,Равнина,Высокая,Нет,Неравномерное,3,Горизонтальные,Волнообразные,94,Солнечно,Не доступны,Установлены,Средняя,Пассивные
"77.48704718102513, 91.36230792848994",59.9394202221605,1.6,Скала,Ложе реки,Средняя,Да,Равномерное,10,Сдвиговые,Тектонические,72,Дождь,Не доступны,Установлены,Средняя,Пассивные
"33.14385799859255, 14.692870625343033",1.183096824162027,3.2,Скала,Равнина,Низкая,Да,Равномерное,4,Сдвиговые,Волнообразные,85,Пасмурно,Доступны,Не установлены,Средняя,Активные
"73.83909461250391, -73.79262256855333",73.37257280229527,6.8,Песок,Гора,Высокая,Да,Равномерное,2,Сдвиговые,Вулканические,79,Снег,Доступны,Установлены,Низкая,Пассивные
"24.468524080664807, -25.387901725779898",71.86849929708764,7.4,Гравий,Гора,Высокая,Нет,Неравномерное,3,Сдвиговые,Тектонические,87,Пасмурно,Доступны,Установлены,Высокая,Активные
"28.613866542848925, -98.20939586604985",48.309177057666936,5.3,Скала,Ложе реки,Высокая,Да,Неравномерное,5,Вертикальные,Волнообразные,78,Снег,Не доступны,Установлены,Средняя,Активные
"31.991319220145293, -17.738940736290118",37.415502398681106,5.3,Песок,Гора,Средняя,Нет,Равномерное,2,Вертикальные,Тектонические,22,Снег,Не доступны,Не установлены,Высокая,Активные
"13.21654047035468, 89.96138235978708",62.51092771008951,5.1,Гравий,Плато,Низкая,Да,Неравномерное,7,Вертикальные,Волнообразные,36,Дождь,Не доступны,Не установлены,Низкая,Активные
"6.092313761849674, -3.437481684553177",18.674526030735517,7.8,Песок,Плато,Средняя,Да,Неравномерное,4,Горизонтальные,Вулканические,94,Снег,Доступны,Установлены,Высокая,Пассивные
"78.96234119691184, -21.336034393995305",45.87364760016799,3.9,Глина,Гора,Высокая,Да,Равномерное,7,Горизонтальные,Волнообразные,55,Снег,Не доступны,Установлены,Низкая,Активные
"27.0299334160307, 102.148712643816",22.446938968952153,2.8,Глина,Плато,Высокая,Да,Неравномерное,4,Вертикальные,Волнообразные,42,Дождь,Не доступны,Не установлены,Высокая,Пассивные
"73.79252288506206, 148.86644756471844",50.11744676653297,4.3,Глина,Гора,Средняя,Нет,Неравномерное,5,Горизонтальные,Вулканические,85,Солнечно,Доступны,Установлены,Низкая,Активные
"52.16134793320399, -0.16664385929681202",39.79732093400063,2.4,Скала,Ложе реки,Высокая,Да,Неравномерное,2,Вертикальные,Тектонические,63,Дождь,Не доступны,Установлены,Низкая,Активные
"13.827812967037325, 103.11531253941922",12.614617876892826,7.3,Гравий,Плато,Средняя,Да,Неравномерное,8,Горизонтальные,Волнообразные,48,Солнечно,Доступны,Не установлены,Средняя,Пассивные
"58.64517058978386, -126.73348175250361",13.402251378086937,4.0,Скала,Равнина,Высокая,Да,Неравномерное,2,Горизонтальные,Тектонические,71,Снег,Не доступны,Установлены,Высокая,Пассивные
"84.37396752820219, 8.09066626481831",65.52581221399242,3.5,Глина,Ложе реки,Высокая,Да,Равномерное,5,Горизонтальные,Вулканические,81,Пасмурно,Доступны,Не установлены,Средняя,Активные
"54.919267142501255, -177.11325007531977",60.557712418824146,6.7,Песок,Гора,Высокая,Да,Неравномерное,1,Вертикальные,Волнообразные,29,Солнечно,Не доступны,Не установлены,Средняя,Активные
"64.67134656635535, 26.346698233407267",3.864762117519584,3.5,Глина,Равнина,Средняя,Нет,Неравномерное,10,Сдвиговые,Вулканические,78,Снег,Доступны,Не установлены,Высокая,Пассивные
"47.11221097792126, -3.2238118199057055",5.109025795511916,7.9,Песок,Гора,Низкая,Нет,Неравномерное,5,Горизонтальные,Волнообразные,44,Дождь,Доступны,Установлены,Низкая,Пассивные
"34.12233527959355, -127.02682711887212",78.23351376503088,6.2,Песок,Плато,Средняя,Нет,Равномерное,6,Вертикальные,Тектонические,25,Пасмурно,Доступны,Установлены,Средняя,Активные
"86.77350068122105, -164.1668897895077",55.909076023485966,3.4,Глина,Гора,Низкая,Да,Равномерное,9,Горизонтальные,Тектонические,40,Пасмурно,Доступны,Установлены,Средняя,Активные
"84.11880331851187, -59.0012122850092",49.08437150845931,3.5,Глина,Равнина,Высокая,Нет,Неравномерное,8,Сдвиговые,Вулканические,47,Дождь,Доступны,Не установлены,Низкая,Активные
"57.01478631118223, 167.55918626119427",75.88507004301877,7.4,Песок,Равнина,Средняя,Да,Равномерное,5,Сдвиговые,Вулканические,33,Снег,Не доступны,Установлены,Средняя,Активные
"17.145153388733515, 131.18743400802367",70.52743425993793,2.8,Глина,Равнина,Высокая,Да,Равномерное,4,Горизонтальные,Тектонические,10,Пасмурно,Не доступны,Установлены,Низкая,Активные
"36.35487210431717, 149.53963512708623",86.82901434673764,4.1,Глина,Ложе реки,Средняя,Да,Равномерное,10,Вертикальные,Тектонические,61,Дождь,Не доступны,Не установлены,Средняя,Пассивные
"75.3731039455915, 144.3742555176392",32.692512150499184,6.0,Глина,Ложе реки,Низкая,Нет,Равномерное,2,Сдвиговые,Тектонические,20,Пасмурно,Доступны,Установлены,Высокая,Пассивные
"75.14619827702232, -92.45005034395527",1.1392167657604226,3.6,Скала,Равнина,Высокая,Нет,Равномерное,2,Сдвиговые,Волнообразные,65,Солнечно,Доступны,Установлены,Высокая,Активные
"74.57319181097722, 130.20343610840655",97.23320304925946,4.0,Песок,Плато,Средняя,Нет,Равномерное,3,Вертикальные,Вулканические,69,Пасмурно,Доступны,Установлены,Средняя,Пассивные
"75.27032321939345, -125.29782529463529",28.57419971657513,3.0,Песок,Равнина,Средняя,Да,Равномерное,1,Вертикальные,Тектонические,68,Дождь,Не доступны,Не установлены,Низкая,Пассивные
"11.485279630336887, 138.12532089411235",35.0604026241623,5.0,Гравий,Ложе реки,Низкая,Нет,Неравномерное,10,Сдвиговые,Вулканические,93,Снег,Не доступны,Не установлены,Средняя,Пассивные
"68.87467465968861, 78.97798056504945",5.22707955529504,5.2,Гравий,Плато,Низкая,Нет,Равномерное,10,Сдвиговые,Волнообразные,83,Пасмурно,Доступны,Не установлены,Низкая,Активные
"81.97353786253971, -44.17376948259965",60.5245688596418,7.0,Скала,Равнина,Высокая,Нет,Неравномерное,4,Горизонтальные,Волнообразные,66,Снег,Не доступны,Установлены,Средняя,Пассивные
"11.191923507683848, -54.44322434170425",56.454910373867804,2.6,Песок,Плато,Средняя,Нет,Неравномерное,10,Сдвиговые,Вулканические,36,Солнечно,Доступны,Установлены,Высокая,Пассивные
"80.51179753635873, -48.805010384263824",87.83915528628684,4.0,Песок,Равнина,Низкая,Да,Неравномерное,6,Горизонтальные,Тектонические,75,Дождь,Не доступны,Не установлены,Средняя,Активные
"36.93322577941557, -104.61899506791303",17.895687437957754,1.7,Песок,Гора,Средняя,Нет,Равномерное,4,Горизонтальные,Вулканические,83,Снег,Не доступны,Установлены,Средняя,Активные
"30.20006068532211, 164.70349286324426",89.36615133976782,2.6,Песок,Ложе реки,Средняя,Да,Неравномерное,4,Сдвиговые,Вулканические,37,Солнечно,Доступны,Установлены,Высокая,Пассивные
