День недели,Месяц,Время суток,Праздничные дни,Класс обслуживания,Кол-во оставшихся билетов,Направление полета,Продолжительность полета,Авиакомпания,Тип воздушного судна,Температура воздуха,Осадки,Скорость ветра,Наличие мероприятий,Наличие местных праздников,Наличие праздников выходного дня,Кол-во бронирований,Кол-во проданных билетов,Кол-во пассажиров на борту,Средняя цена билета,Рейтинг авиакомпании,Рейтинг аэропорта
Sunday,07,день,True,эконом,124,challenge,20,"Rodriguez, Collins and Henson",stock,-12,Солнечно,35,True,True,True,84,181,97,338,3,5
Tuesday,02,ночь,False,первый класс,193,kid,8,Parker-Robertson,good,14,Снег,50,False,False,False,8,45,46,214,3,3
Sunday,09,день,False,бизнес,88,scene,19,Mcdonald-Elliott,option,-18,Облачно,45,True,True,True,49,163,108,862,4,1
Monday,03,утро,True,первый класс,242,western,9,Castillo PLC,data,25,Снег,17,True,True,False,16,50,189,175,1,4
Wednesday,01,утро,True,эконом,253,action,23,"King, Mendoza and Pratt",wear,7,Облачно,26,False,False,True,193,173,211,620,2,1
Thursday,04,день,True,первый класс,3,on,22,Barrera-Black,wind,29,Солнечно,32,False,False,False,122,166,136,747,3,1
Tuesday,08,день,True,эконом,264,reason,23,"Jackson, Perez and Ortiz",decide,-7,Дождь,3,True,False,True,146,119,283,340,2,5
Tuesday,08,утро,True,бизнес,8,trip,21,"Thomas, Contreras and Edwards",low,8,Солнечно,4,False,True,False,154,7,293,365,1,3
Tuesday,02,день,True,эконом,10,each,2,Mcclure PLC,others,3,Солнечно,32,False,False,False,87,149,39,947,1,5
Friday,12,ночь,True,эконом,93,popular,17,Navarro Inc,listen,26,Дождь,36,True,False,True,69,106,103,534,4,2
Saturday,09,утро,False,эконом,181,our,21,Brooks Group,career,10,Снег,19,True,False,False,168,48,202,303,1,3
Sunday,10,ночь,False,эконом,94,entire,19,Sherman and Sons,sell,-3,Солнечно,28,True,False,False,147,25,197,879,2,1
Monday,11,вечер,False,первый класс,230,cold,12,"Ritter, Chaney and Mooney",at,39,Дождь,10,True,False,True,3,123,98,488,1,5
Tuesday,06,день,False,первый класс,152,player,9,Stanton Inc,figure,-16,Солнечно,20,False,True,True,7,60,86,166,1,3
Monday,10,вечер,False,эконом,10,view,9,Hall PLC,station,-12,Облачно,18,True,True,True,133,128,133,396,1,5
Sunday,04,ночь,True,бизнес,150,talk,9,Garcia Inc,the,22,Солнечно,21,False,True,False,0,47,253,362,1,5
Monday,08,ночь,True,эконом,3,production,15,Thomas-Reed,even,11,Солнечно,50,True,False,True,151,182,168,435,2,2
Wednesday,03,утро,True,бизнес,168,happy,10,Phillips-Lopez,letter,20,Солнечно,33,True,False,True,5,113,38,463,4,1
Monday,02,ночь,False,эконом,163,study,17,Murphy-Jones,approach,24,Снег,43,False,False,True,109,126,155,449,1,5
Monday,12,вечер,False,эконом,284,oil,15,Navarro-Zavala,kitchen,-9,Дождь,36,False,False,True,98,134,184,554,4,5
Monday,09,день,True,эконом,41,live,2,"Williams, Allen and Young",sit,3,Солнечно,5,True,True,False,24,78,249,637,3,2
Thursday,09,вечер,True,первый класс,20,offer,18,"Holloway, Vazquez and Cummings",occur,16,Снег,12,True,False,False,140,122,277,513,5,4
Wednesday,09,ночь,False,эконом,195,design,23,Barry PLC,participant,9,Снег,4,False,False,True,149,122,165,110,3,2
Saturday,03,утро,True,бизнес,211,of,15,Novak Group,just,-5,Дождь,12,False,False,True,164,160,72,710,1,3
Thursday,02,ночь,False,бизнес,230,improve,8,Hicks-Gibson,culture,24,Солнечно,6,True,False,True,21,37,231,750,3,4
Wednesday,01,вечер,False,первый класс,15,back,7,"Williams, Williams and Williams",scene,20,Облачно,24,True,True,True,155,144,255,839,4,5
Tuesday,04,утро,False,бизнес,123,summer,8,"Smith, Daniels and Pena",body,-10,Солнечно,41,False,True,True,114,129,42,708,1,3
Friday,05,вечер,False,эконом,222,husband,14,Porter Group,entire,36,Снег,17,True,True,False,67,130,87,824,3,3
Saturday,01,день,True,первый класс,227,finish,9,Atkins Ltd,turn,-12,Солнечно,26,True,False,True,193,177,118,846,2,2
Thursday,07,утро,True,бизнес,294,score,19,Brown LLC,remember,20,Дождь,1,False,True,False,88,175,291,234,1,5
Monday,11,вечер,True,бизнес,247,build,2,"Hill, Horton and Bennett",state,10,Солнечно,4,False,True,False,36,106,43,413,3,2
Thursday,11,ночь,False,первый класс,108,ready,12,"Bailey, Kirk and Perez",range,-2,Снег,12,True,False,True,198,172,158,271,1,5
Saturday,07,день,False,первый класс,173,officer,3,"Jenkins, Campbell and Johnson",technology,8,Солнечно,21,True,False,True,99,54,8,134,3,2
Saturday,01,день,False,первый класс,294,still,23,Wood-Price,should,-2,Снег,0,False,True,False,125,31,256,403,3,5
Sunday,01,ночь,True,бизнес,169,let,4,"Johnson, Parker and Floyd",short,9,Облачно,6,True,False,True,12,16,83,321,4,5
Wednesday,05,утро,True,эконом,139,detail,2,Newton LLC,citizen,11,Снег,45,True,False,True,12,158,245,787,1,3
Friday,02,вечер,False,бизнес,156,fast,23,"Martinez, Boyle and Jackson",particularly,0,Дождь,41,True,False,True,179,104,2,932,2,1
Sunday,09,день,False,эконом,54,street,9,Harper PLC,drop,-15,Снег,48,True,False,False,32,130,215,158,4,2
Thursday,05,ночь,False,эконом,78,offer,16,Morales-Long,pay,14,Снег,50,False,True,True,29,86,23,978,4,3
Saturday,04,ночь,True,бизнес,284,hard,6,Mahoney-Smith,collection,-17,Облачно,43,False,False,False,58,128,114,728,3,1
Sunday,08,вечер,False,первый класс,223,argue,22,Young and Sons,stay,15,Дождь,45,False,False,False,22,14,249,967,3,2
Friday,12,вечер,True,бизнес,58,nor,12,"Case, Santana and Good",nation,-2,Снег,10,False,True,True,59,199,32,422,2,2
Saturday,09,утро,False,эконом,211,address,11,"Morgan, Simpson and Rivera",probably,-5,Дождь,26,True,False,False,2,14,288,597,4,2
Thursday,06,день,True,бизнес,237,sister,12,"Moreno, Johnson and King",that,28,Солнечно,48,False,False,False,162,7,218,893,1,4
Saturday,05,вечер,False,бизнес,114,concern,5,Velazquez-Zuniga,hotel,40,Дождь,20,True,True,True,74,180,7,900,1,4
Sunday,01,утро,False,эконом,93,have,7,"Thomas, Mahoney and Salazar",space,20,Солнечно,39,True,True,True,196,101,140,942,5,4
Sunday,05,день,False,первый класс,144,group,22,Jones-King,process,19,Облачно,30,False,False,False,179,76,194,863,2,1
Sunday,08,утро,True,эконом,121,discuss,19,Shaw-Smith,box,31,Снег,14,True,True,True,21,13,157,312,5,1
Tuesday,02,день,True,первый класс,116,her,3,Rosales-Hamilton,remain,29,Снег,25,True,False,True,17,146,286,378,2,5
Monday,04,ночь,False,первый класс,277,in,23,"Rodriguez, Ramos and Mcdaniel",account,-14,Снег,11,True,False,True,189,162,214,522,2,1
Tuesday,11,ночь,True,эконом,143,eye,18,Patterson Inc,hospital,-7,Солнечно,27,True,False,False,159,8,260,752,2,3
Thursday,11,вечер,False,бизнес,104,difference,21,"Owens, Taylor and Rosales",minute,8,Солнечно,44,False,True,True,136,130,63,696,5,3
Sunday,09,вечер,True,первый класс,2,include,17,Cook-Salinas,imagine,-16,Солнечно,2,True,False,True,200,69,199,813,4,4
Thursday,06,утро,True,первый класс,158,possible,10,Francis-Wiggins,imagine,15,Солнечно,18,True,True,False,139,79,3,367,5,4
Saturday,10,день,True,эконом,261,first,20,Odonnell-Frederick,eight,31,Снег,18,False,False,True,41,174,119,971,5,4
Wednesday,12,ночь,False,бизнес,89,talk,2,"Wong, Craig and Oliver",just,25,Солнечно,23,True,False,True,139,137,179,814,1,2
Thursday,10,вечер,False,бизнес,101,me,6,Johnson-Calderon,stand,7,Снег,21,True,False,False,32,46,254,539,4,3
Monday,06,вечер,True,первый класс,3,owner,6,Parker-Whitaker,message,28,Солнечно,49,False,False,False,64,86,82,294,1,4
Thursday,09,ночь,True,бизнес,285,through,19,Tate Ltd,environmental,-5,Снег,22,True,True,True,69,135,49,709,1,4
Thursday,07,вечер,True,первый класс,118,common,14,"Wilkins, Ayers and Kent",president,3,Дождь,32,False,True,True,67,22,269,232,2,1
Thursday,04,день,False,эконом,225,middle,9,Smith-Collins,win,37,Облачно,46,True,True,False,139,37,134,543,4,1
Wednesday,05,утро,True,эконом,122,society,9,Smith Inc,assume,30,Облачно,0,False,False,True,67,156,183,383,4,5
Thursday,06,ночь,True,эконом,211,necessary,19,Hall Group,clearly,-5,Дождь,31,True,False,False,90,86,29,504,4,2
Wednesday,06,ночь,True,бизнес,216,movie,14,Williams LLC,husband,12,Дождь,15,False,True,True,3,35,122,400,3,3
Sunday,07,утро,True,первый класс,32,evidence,2,"Cruz, Grimes and Hardin",she,36,Облачно,43,True,True,True,48,118,19,884,1,2
Tuesday,11,вечер,False,бизнес,105,fly,15,"Underwood, Campbell and Keller",this,-20,Солнечно,47,False,True,True,22,2,104,427,3,3
Saturday,12,вечер,False,первый класс,45,cause,6,Norris and Sons,serve,18,Солнечно,26,True,False,True,79,141,220,611,5,3
Friday,07,утро,True,первый класс,121,argue,19,Vasquez-Patterson,personal,-10,Солнечно,35,False,True,True,137,106,16,135,4,1
Saturday,08,день,True,эконом,103,bring,3,"Holmes, Salazar and Reed",particularly,31,Снег,49,False,True,False,38,182,263,528,2,4
Wednesday,10,день,False,первый класс,284,film,3,"Washington, Barton and Powell",thank,20,Облачно,18,True,True,False,163,53,185,789,1,2
Tuesday,07,утро,True,эконом,106,culture,13,Roberts-Parsons,also,15,Солнечно,17,False,True,False,105,4,221,111,1,2
Friday,07,вечер,False,бизнес,250,training,13,Howard-Baker,response,21,Облачно,9,True,True,False,135,47,133,690,4,3
Friday,08,ночь,False,эконом,183,across,12,"Roberts, Thomas and Simpson",car,39,Снег,6,True,False,False,113,78,36,655,3,2
Saturday,06,ночь,False,эконом,120,poor,14,West-Michael,day,3,Снег,24,False,True,True,4,141,74,466,5,3
Thursday,01,утро,False,первый класс,102,get,2,"Williams, Smith and Phillips",skill,-20,Снег,24,True,False,False,161,19,80,833,2,4
Saturday,05,день,True,эконом,24,effect,18,Sims-Lewis,imagine,30,Снег,25,False,False,False,138,93,62,958,2,1
Friday,12,утро,False,эконом,234,visit,6,"King, Salinas and Vega",guy,34,Облачно,19,False,True,False,6,48,53,601,2,3
Wednesday,04,день,True,эконом,141,while,2,Reeves-Yu,personal,3,Снег,31,True,False,True,46,106,159,588,4,3
Wednesday,02,вечер,True,первый класс,80,compare,16,"Gutierrez, Nelson and Burke",from,2,Дождь,41,True,False,True,47,126,153,232,1,4
Tuesday,11,утро,False,первый класс,134,free,12,Hernandez-Myers,person,-20,Облачно,44,False,False,True,82,124,250,198,4,4
Sunday,12,вечер,True,эконом,39,account,15,Cook LLC,song,-3,Облачно,30,False,False,False,67,114,124,190,4,5
Friday,11,день,False,бизнес,236,and,22,Reed-Salas,present,15,Снег,4,True,False,False,160,147,295,336,5,4
Monday,02,день,True,первый класс,98,within,3,Nguyen Ltd,house,1,Облачно,14,True,True,True,27,16,40,743,1,3
Wednesday,10,ночь,True,бизнес,83,care,1,Curry-Lowe,economic,14,Облачно,10,False,False,False,84,4,124,326,4,4
Sunday,06,ночь,False,эконом,157,very,2,Harper-Walker,their,22,Солнечно,29,True,True,True,39,13,74,102,5,1
Monday,10,ночь,True,бизнес,110,attorney,16,Trevino LLC,everyone,-13,Облачно,11,True,True,False,165,127,44,884,1,5
Friday,10,утро,False,бизнес,250,minute,13,Harper PLC,player,-3,Снег,48,False,True,True,27,175,252,816,1,2
Saturday,10,ночь,False,эконом,269,help,1,Bean-Martinez,either,17,Облачно,19,True,False,False,116,15,77,409,4,4
Tuesday,07,утро,False,бизнес,286,seat,24,"Davis, Hale and Hayes",federal,-14,Облачно,19,False,False,True,139,92,126,674,4,3
Saturday,03,утро,True,эконом,162,safe,24,Preston PLC,order,-5,Солнечно,14,False,True,True,171,159,167,650,5,4
Friday,01,вечер,False,первый класс,101,use,12,"Mccarthy, Hall and Williams",also,26,Солнечно,41,False,False,False,143,181,131,160,3,2
Sunday,03,день,False,эконом,207,inside,1,Green Group,garden,32,Снег,40,True,True,False,13,121,164,750,3,2
Thursday,02,утро,True,бизнес,114,agent,6,Wilkinson LLC,investment,11,Солнечно,18,False,False,False,156,60,91,392,2,3
Wednesday,10,ночь,True,первый класс,267,have,12,"Petersen, Price and Williams",experience,-7,Облачно,35,False,True,True,81,38,136,989,5,2
Saturday,11,ночь,False,первый класс,119,traditional,3,"Lee, English and Johnson",oil,29,Дождь,41,False,True,False,119,177,147,491,2,4
Sunday,08,ночь,False,первый класс,147,property,4,"Villanueva, Martin and Alexander",character,30,Облачно,43,False,False,False,77,82,161,694,4,5
Friday,06,день,True,первый класс,158,particularly,22,Hicks-White,economic,11,Дождь,14,False,True,False,195,132,235,312,1,5
Monday,02,день,True,бизнес,202,report,17,Baxter Ltd,nor,21,Облачно,8,True,False,True,135,104,201,278,5,4
Saturday,09,вечер,True,бизнес,135,music,16,Anthony-Perez,magazine,-3,Дождь,1,True,True,False,87,32,216,464,5,1
Saturday,06,утро,False,бизнес,192,carry,14,Long-Powell,join,33,Дождь,50,False,False,True,70,198,200,874,1,5
Monday,05,день,True,первый класс,164,model,12,Peterson-Marsh,Mr,22,Облачно,37,True,False,False,117,53,70,730,5,5
Friday,08,утро,True,первый класс,137,catch,18,Schultz Group,score,6,Снег,18,False,False,False,70,197,118,619,5,3
Sunday,08,день,False,эконом,219,plan,19,"Manning, Welch and Hicks",catch,-10,Облачно,22,True,False,False,21,31,160,818,1,4
Wednesday,07,утро,False,бизнес,6,own,1,Murray-Schmidt,run,-11,Облачно,43,True,False,True,20,42,80,400,5,4
Monday,07,день,True,первый класс,87,order,8,"Wagner, Vazquez and Snyder",drug,14,Облачно,7,True,True,False,0,163,187,225,4,3
Tuesday,07,вечер,False,бизнес,42,tend,7,Turner PLC,star,4,Солнечно,25,True,False,True,158,0,287,206,4,5
Saturday,11,день,True,эконом,103,investment,17,Manning Ltd,summer,7,Снег,39,False,True,False,191,17,219,963,2,3
Saturday,06,утро,False,бизнес,175,expect,5,"Lawrence, Jackson and Bush",whom,9,Снег,6,False,False,False,143,189,83,646,1,1
Monday,05,утро,False,бизнес,295,hard,22,"Mason, Barnett and Briggs",we,20,Солнечно,41,True,True,True,38,179,97,286,3,3
Wednesday,02,вечер,True,эконом,170,south,21,Mckenzie-Henson,because,27,Солнечно,46,False,True,True,11,103,193,446,5,1
Thursday,12,вечер,True,первый класс,60,car,7,Pena-Graham,forward,29,Солнечно,20,False,False,False,151,122,237,974,1,3
Monday,09,утро,True,эконом,21,cut,5,"Barber, Alvarez and Dennis",right,5,Снег,21,False,False,True,43,32,128,582,2,3
Friday,07,ночь,True,первый класс,199,thought,10,"Thompson, Murray and Anderson",just,19,Солнечно,40,False,True,False,38,49,287,478,2,2
Sunday,08,утро,True,бизнес,193,represent,23,Harris Group,back,17,Солнечно,38,False,False,True,62,5,216,239,4,1
Sunday,07,утро,True,эконом,268,card,12,Brooks Inc,can,3,Облачно,21,True,False,False,151,25,64,826,4,3
Friday,03,утро,True,бизнес,223,everyone,22,"Williams, Johnson and Jensen",research,31,Снег,20,False,False,True,63,151,89,774,2,1
Tuesday,03,вечер,False,эконом,279,throw,23,Sims-Brown,trip,25,Снег,49,True,False,False,128,19,118,356,5,2
Wednesday,12,ночь,False,эконом,194,lot,23,Wilson LLC,least,-9,Облачно,3,True,True,False,3,103,119,457,3,5
Thursday,08,ночь,False,эконом,285,student,15,Arnold Group,painting,7,Облачно,2,True,False,True,22,140,139,915,5,2
Tuesday,12,вечер,False,бизнес,229,TV,20,Gilmore PLC,movie,11,Дождь,31,True,False,True,30,139,52,912,4,2
Monday,03,утро,False,эконом,40,notice,2,"Smith, Hall and Cowan",wall,-16,Дождь,0,True,True,True,15,135,78,609,2,4
Thursday,11,вечер,False,эконом,103,middle,12,Mora-Fitzpatrick,until,27,Дождь,48,False,True,False,164,148,230,959,4,4
Thursday,12,вечер,True,эконом,134,might,2,"Sullivan, Edwards and Green",line,13,Снег,7,False,True,True,176,164,244,251,5,2
Sunday,10,вечер,True,первый класс,278,big,16,"Brady, Davis and Dennis",run,33,Снег,44,True,True,True,150,66,201,676,1,5
Tuesday,01,ночь,False,бизнес,19,me,22,"Walker, Edwards and Garcia",girl,-11,Солнечно,25,True,True,True,98,103,133,123,5,1
Friday,11,ночь,True,бизнес,241,form,14,Pratt-Davis,form,-4,Солнечно,45,False,True,True,94,160,150,813,1,4
Thursday,05,утро,True,первый класс,247,Republican,15,Winters PLC,million,-17,Облачно,16,True,False,False,139,196,210,355,3,4
Friday,11,день,False,первый класс,208,pretty,23,"Marshall, Washington and Ramos",song,-10,Снег,6,True,True,False,119,157,66,834,3,5
Thursday,04,утро,True,эконом,250,church,5,"Duffy, White and Obrien",choose,29,Дождь,34,False,False,True,129,158,84,509,2,2
Monday,07,ночь,False,эконом,216,pattern,4,"Chapman, Cook and Morris",situation,-3,Солнечно,21,False,True,True,86,17,6,784,1,4
Saturday,12,день,True,бизнес,63,store,16,"Reilly, Reed and Butler",tend,27,Дождь,36,False,True,True,26,38,67,242,5,5
Friday,07,вечер,False,первый класс,108,ready,6,"Rose, Stafford and Mcguire",line,-20,Солнечно,35,True,True,True,128,71,143,866,3,3
Monday,11,день,False,первый класс,5,significant,13,Ryan-Jones,sister,-3,Снег,26,False,True,False,135,25,148,786,2,5
Friday,10,вечер,True,эконом,84,evening,6,"Hall, Santos and Barber",strong,21,Дождь,21,False,False,False,38,35,210,105,4,4
Saturday,09,ночь,False,первый класс,124,or,15,Mcbride and Sons,force,13,Облачно,21,False,False,True,23,167,257,492,4,1
Thursday,10,день,True,эконом,143,contain,11,"Randall, Harvey and Gray",believe,2,Дождь,18,True,False,True,65,106,185,812,3,2
Monday,11,утро,True,эконом,177,image,16,"Jackson, Santos and Ruiz",traditional,14,Облачно,25,True,True,True,50,147,193,225,4,3
Wednesday,06,утро,True,первый класс,295,month,3,Nielsen LLC,top,29,Солнечно,21,False,True,False,186,188,72,798,3,1
Friday,07,ночь,True,эконом,7,face,16,Kirk-Morton,heavy,10,Дождь,31,False,True,False,158,145,282,891,1,1
Saturday,02,ночь,True,первый класс,180,wait,24,"Hayes, Vargas and Scott",seat,-2,Солнечно,32,False,False,True,96,60,115,100,1,4
Sunday,12,вечер,False,первый класс,226,quickly,23,"Edwards, Gutierrez and Farrell",cold,-16,Снег,50,True,False,False,94,162,63,697,4,3
Sunday,07,вечер,True,первый класс,214,customer,9,Wells-Martin,include,-8,Солнечно,27,False,False,True,107,54,292,748,1,4
Sunday,08,утро,True,бизнес,185,marriage,24,Young-Sweeney,list,-12,Облачно,17,True,True,True,2,4,143,212,2,4
Sunday,03,вечер,False,первый класс,228,ever,3,Boyd-Owens,look,-9,Облачно,12,True,False,True,53,176,43,799,3,1
Tuesday,09,ночь,False,эконом,300,peace,2,Bates LLC,customer,15,Солнечно,11,False,True,True,19,45,140,942,4,5
Wednesday,07,день,False,первый класс,246,central,14,"Williams, Lynch and Cook",country,27,Дождь,37,False,False,True,64,116,131,303,3,2
Friday,08,вечер,True,первый класс,279,yet,13,"Short, Andrade and Parker",way,13,Облачно,32,True,False,False,116,151,262,227,5,4
Monday,12,утро,False,эконом,286,street,11,Martinez Inc,hand,2,Солнечно,32,False,False,False,18,167,291,478,4,1
Tuesday,08,ночь,True,эконом,46,take,24,Olsen LLC,tax,11,Облачно,11,False,False,True,166,34,296,781,1,2
Friday,08,день,True,бизнес,90,reveal,5,"Garcia, Rivera and Robinson",wonder,21,Снег,38,False,False,False,169,100,237,719,2,2
Friday,01,день,True,бизнес,175,evidence,8,"Stewart, Morris and Cox",claim,-7,Дождь,2,True,True,False,129,69,230,850,3,2
Friday,08,день,True,первый класс,271,nation,18,"Rowe, James and Knight",manage,-18,Снег,26,False,False,False,120,170,27,454,4,2
Friday,06,вечер,False,бизнес,30,position,21,Jackson LLC,white,1,Облачно,21,True,True,False,105,190,205,828,5,2
Monday,05,ночь,False,первый класс,124,source,19,Flores-Hines,support,-2,Снег,21,False,True,False,45,125,191,184,3,1
Monday,07,день,False,эконом,271,senior,11,"Strickland, Erickson and Pierce",week,-1,Облачно,42,True,True,True,55,197,151,564,1,4
Friday,04,утро,True,первый класс,263,outside,9,Garcia-Adams,party,8,Облачно,40,True,True,True,194,177,271,363,3,5
Friday,12,вечер,True,эконом,193,enjoy,20,"Pacheco, Bentley and Robertson",reflect,33,Дождь,18,True,False,False,107,35,100,572,5,2
Monday,05,утро,True,первый класс,106,small,21,"Reilly, Sullivan and Gilbert",season,5,Дождь,30,False,False,False,33,115,37,524,5,1
Wednesday,04,день,True,эконом,170,fast,2,Clark and Sons,after,34,Дождь,0,True,True,True,30,23,176,808,1,1
Thursday,06,ночь,False,бизнес,94,speak,2,"Gordon, Henry and Thompson",process,2,Дождь,32,False,False,False,188,42,2,858,4,4
Saturday,12,вечер,False,первый класс,247,civil,21,Allison-Patel,each,13,Облачно,39,True,False,False,142,128,253,426,4,5
Friday,10,день,False,бизнес,226,man,18,Davis-Ryan,maintain,29,Снег,6,False,False,True,186,158,147,917,4,3
Wednesday,12,утро,True,бизнес,137,fear,11,Roberts Group,sell,-4,Снег,18,False,True,False,176,60,65,435,1,5
Saturday,06,утро,True,бизнес,97,others,18,Lee-Frank,son,-2,Снег,18,True,False,True,126,141,172,289,2,4
Saturday,11,день,True,эконом,156,consumer,13,Sanford-Padilla,would,37,Солнечно,18,True,True,True,25,187,229,492,1,1
Tuesday,10,день,False,бизнес,181,record,21,"Lang, Stevenson and Green",side,16,Облачно,33,False,False,False,80,200,120,775,2,3
Wednesday,09,ночь,False,бизнес,105,happy,13,"Mitchell, Austin and Sheppard",forget,1,Солнечно,16,False,False,False,19,126,224,986,3,4
Thursday,02,ночь,False,первый класс,195,down,17,Smith Inc,base,-17,Облачно,15,True,False,True,105,159,249,286,1,4
Thursday,10,ночь,False,эконом,112,his,23,"Jones, Garner and Bailey",point,4,Солнечно,40,True,True,True,44,35,127,603,1,3
Tuesday,08,вечер,False,эконом,240,represent,18,Graves LLC,whole,14,Солнечно,9,False,False,False,118,128,270,689,4,4
Saturday,04,день,True,эконом,201,new,9,Olson-Wilson,sometimes,3,Облачно,3,False,False,False,17,115,232,292,2,5
Monday,01,утро,False,бизнес,256,wish,23,"Hawkins, Knight and Rodriguez",operation,30,Облачно,42,False,True,True,22,183,8,209,2,1
Sunday,09,ночь,False,первый класс,13,rule,23,Wilcox Ltd,provide,-16,Дождь,29,True,False,True,33,108,144,833,5,4
Saturday,06,ночь,False,бизнес,8,ask,22,Bailey-Hensley,here,-8,Облачно,36,True,True,False,59,127,111,660,2,4
Tuesday,02,ночь,False,эконом,274,relate,12,Dawson-Ward,nation,-3,Дождь,32,False,True,False,114,60,195,290,4,4
Monday,05,утро,False,эконом,263,economy,8,"Ho, May and Gonzalez",official,5,Дождь,13,False,False,True,178,69,16,617,3,5
Monday,09,вечер,False,первый класс,67,approach,4,"Wilson, Brennan and Moss",follow,19,Снег,41,False,False,True,154,13,295,749,2,4
Sunday,09,вечер,True,первый класс,37,draw,22,Martinez Group,tough,-3,Снег,26,False,True,True,75,183,148,199,5,4
Friday,11,день,True,первый класс,10,human,8,Floyd Inc,general,13,Облачно,12,False,False,True,153,143,16,200,3,4
Saturday,11,день,True,эконом,46,car,5,"Thomas, Delgado and Montoya",over,8,Дождь,4,True,True,False,124,6,188,802,2,3
Friday,09,утро,False,первый класс,178,operation,1,Banks-Shepard,including,-14,Облачно,45,True,True,True,122,3,237,113,5,2
Tuesday,06,ночь,False,эконом,116,financial,24,Adams Inc,pattern,31,Солнечно,49,False,False,False,27,70,234,205,2,4
Wednesday,04,день,False,эконом,281,eight,14,Gonzalez PLC,point,34,Солнечно,12,False,True,False,160,65,128,758,1,5
Saturday,09,вечер,False,первый класс,149,do,10,Fisher and Sons,inside,-11,Снег,9,True,True,False,82,178,137,397,4,3
Monday,09,день,True,первый класс,92,if,12,Hayes-Miller,choice,-17,Снег,22,True,True,True,10,36,45,925,3,5
Saturday,03,утро,False,эконом,79,especially,5,Phelps LLC,up,-15,Снег,3,False,False,False,53,127,260,962,1,3
Thursday,03,утро,True,бизнес,187,actually,13,Sanders-Martin,girl,-1,Дождь,34,True,True,True,20,3,268,708,1,3
Wednesday,11,утро,True,первый класс,130,child,18,"Payne, Johnson and Berg",risk,34,Снег,16,False,False,False,125,53,159,413,3,5
Friday,07,день,True,бизнес,35,treatment,17,Harris PLC,wonder,-4,Солнечно,44,True,True,False,131,142,250,601,1,1
Saturday,08,утро,False,эконом,275,four,14,"Hardy, Glover and Steele",evening,19,Облачно,13,True,True,False,57,185,219,585,3,4
Saturday,09,день,False,бизнес,298,general,18,"Hill, Moses and Mejia",bag,3,Дождь,10,True,True,False,19,130,176,926,5,3
Saturday,09,вечер,False,эконом,47,look,18,Anderson-Brewer,could,21,Дождь,36,True,True,False,154,141,220,643,5,4
Friday,05,день,False,бизнес,84,dog,24,"Martin, Williams and Miller",describe,27,Облачно,6,False,False,False,70,188,40,265,3,1
Saturday,04,ночь,False,первый класс,188,type,3,"King, Davis and Mendoza",site,3,Облачно,30,False,True,False,159,170,187,890,3,3
Saturday,05,день,True,бизнес,270,future,7,"Perry, Ryan and Mejia",speak,7,Облачно,20,False,True,True,59,179,219,555,1,4
Wednesday,12,ночь,False,бизнес,187,service,23,Murillo-Austin,difference,4,Солнечно,16,False,False,False,160,69,144,528,3,5
Saturday,10,утро,False,бизнес,74,process,7,Carpenter-Contreras,class,-5,Снег,1,True,False,True,50,41,152,170,3,5
Sunday,11,вечер,True,первый класс,90,usually,12,"Morris, Evans and White",option,28,Дождь,10,False,True,False,176,160,294,414,1,4
Saturday,09,утро,False,эконом,97,popular,22,"Savage, Long and Davis",market,3,Дождь,14,False,False,True,8,36,192,718,2,2
Friday,07,вечер,True,первый класс,56,film,22,Parks-Fisher,mother,29,Снег,9,False,True,True,164,34,251,991,2,5
Thursday,07,ночь,True,бизнес,212,relationship,9,"Hernandez, Lee and Howard",message,39,Солнечно,18,False,True,True,171,152,118,538,2,5
Tuesday,02,утро,False,эконом,1,dog,2,"Anthony, Grimes and Combs",huge,28,Дождь,27,False,False,False,107,167,295,307,4,4
Friday,07,день,True,первый класс,90,Democrat,11,"Weber, Miller and Flores",common,34,Облачно,19,False,True,False,55,164,224,151,4,5
Friday,05,утро,False,бизнес,250,leg,20,Johnson-Torres,safe,0,Солнечно,29,True,True,True,57,82,191,430,4,3
Thursday,09,вечер,False,первый класс,282,later,12,Thomas LLC,sure,-14,Снег,43,False,True,False,19,164,272,258,4,3
Tuesday,04,день,True,эконом,117,stop,5,Bennett and Sons,notice,29,Облачно,14,True,False,False,35,197,47,460,2,3
Thursday,10,вечер,False,бизнес,212,senior,8,Fuller-Clark,you,3,Дождь,47,False,False,False,33,44,70,917,4,3
Friday,04,утро,True,бизнес,265,kitchen,23,"Hall, Brooks and Brown",beyond,16,Снег,7,False,False,True,86,154,152,242,5,4
Wednesday,12,день,False,бизнес,112,strong,11,Carroll LLC,population,5,Дождь,22,True,True,False,44,199,12,324,5,5
Friday,02,утро,True,эконом,8,pull,20,"Mata, Thomas and Stone",performance,26,Облачно,24,True,True,False,80,136,101,519,4,3
Sunday,10,вечер,True,эконом,266,that,3,White and Sons,across,28,Облачно,24,True,True,True,60,143,161,780,2,1
Monday,09,ночь,False,бизнес,201,determine,6,Owens and Sons,marriage,-1,Солнечно,50,True,False,False,199,115,212,243,1,2
Sunday,08,вечер,False,бизнес,186,appear,6,Smith LLC,concern,-7,Снег,39,True,True,True,122,17,295,828,1,4
Tuesday,08,вечер,False,бизнес,140,his,19,Castaneda-Jacobs,moment,24,Дождь,14,False,True,False,101,112,19,131,1,5
